1.0	midnight	have	stroke	O	TIME
1.0	authority	cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by armed separatist group ETA	0	DATE
1.0	under banner	read to	2007	0	DATE
1.0	fireworks	have	kilograms	O	O
1.0	capacity crowd	fill square for	midnight concert	0	DATE
1.0	severe weather	force	cancellation of festivity in New Zealand	0	LOCATION
1.0	New Year	create	opportunity	DATE	0
1.0	authority	also cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim	0	DATE
1.0	firework	of kilogram be	6,600 pound	0	MONEY
1.0	people	join	Hogmanay celebration in Edinburgh	0	LOCATION
1.0	cheer	display over	house of Parliament 's clock tower	0	ORGANIZATION
1.0	spectacular sound	show	light	0	0
1.0	people	throng in	Australia	0	LOCATION
1.0	bombing	cut celebration in	Bangkok	0	LOCATION
0.5397746621710631	organiser	say	one million people	0	NUMBER
1.0	trio	ring with	reveller	0	0
1.0	year	have	day	DATE	DATE
1.0	severe weather	force	cancellation	0	0
1.0	people	take	french love say	0	0
1.0	people	join	annual Hogmanay celebration	0	SET
1.0	Edinburgh	have	hubs	O	LOCATION
1.0	estimate one million people	throng in	Australia	NUMBER	LOCATION
1.0	Liverpool	have	cities	O	ORGANIZATION
1.0	hundred	descend on	downtown	0	0
1.0	authority	also cancel	traditional new year fiesta in city centre	0	0
1.0	New Year festivity	be	in at least two capital city however sour by violence	DATE	NUMBER
1.0	police	avert	potential bloodsh	0	0
1.0	New Year	create	opportunity for double celebration in muslim	DATE	0
0.836825199137869	temperature	due to	rain	0	0
1.0	firework	be in	EU	0	ORGANIZATION
1.0	weather	force	cancellation of festivity in New Zealand	0	LOCATION
1.0	estimate 400,000	crowd champs-elysees in	Paris	NUMBER	LOCATION
0.298122624548545	they	struggle at	start of feast of Sacrifice	0	0
1.0	two country	become	member of bloc	NUMBER	0
1.0	authority	also cancel	traditional year fiesta	0	0
1.0	country	become	26th member	0	ORDINAL
0.298122624548545	they	struggle at	start	0	0
0.298122624548545	they	struggle at	start of muslim feast	0	0
1.0	2007	bring	immediate change	DATE	0
1.0	they	struggle goat at	start of feast	0	0
1.0	trio	ring with	then Berlin	0	LOCATION
1.0	deadly bombing	cut celebration in	Bangkok	0	LOCATION
1.0	Berlin	have	Brandenburg Gate	LOCATION	LOCATION
1.0	people	take	love	0	0
1.0	reveller	be	in Moscow reportedly turn from Red Square	0	LOCATION
1.0	people	join	Hogmanay celebration	0	0
1.0	they	struggle	goat	0	0
1.0	traditional new year fiesta	be in	city centre	0	0
1.0	two people	be kill	more	NUMBER	0
1.0	New Year festivity	however be sour in	at least two capital city	DATE	NUMBER
1.0	New Year festivity	be sour in	at least two capital city	DATE	NUMBER
1.0	capacity 15,000 crowd	fill	square	NUMBER	0
1.0	New Year	have	Eve	DATE	DATE
1.0	country	become	26th member of bloc	0	ORDINAL
1.0	authority	also cancel year fiesta as	precaution	0	0
1.0	clock tower	have	Houses	ORGANIZATION	O
1.0	New Year festivity	be	however sour	DATE	0
1.0	annual Hogmanay celebration	be in	Edinburgh	SET	LOCATION
1.0	Edinburgh	point for	Scotland 's biggest holiday	LOCATION	DATE
1.0	people	take	french love	0	0
1.0	their	have	way	O	O
1.0	600 people	take	french love	NUMBER	0
1.0	New Year festivity	be	in at least two capital city sour by violence	DATE	NUMBER
1.0	authority	also cancel	traditional year fiesta in city centre	0	0
1.0	fireworks	have	cancellation	O	O
1.0	2007	bring change in	Hong Kong	DATE	LOCATION
1.0	New York	have	Times Square	LOCATION	LOCATION
1.0	country	become	member	0	0
0.15140126796757591	estimate 400,000	crowd	see	NUMBER	0
1.0	authority	also cancel year fiesta as	precaution follow Saturday 's airport bomb blast	0	DATE
1.0	it	be	city 's New	0	DATE
1.0	Berlin 's Brandenburg Gate	attend	festivity	LOCATION	0
1.0	they	struggle goat at	start of muslim feast of Sacrifice	0	0
1.0	they	mill	about under banner	0	0
1.0	rubles	have	price	O	MONEY
1.0	world	have	observation wheel	O	O
1.0	city	have	New	DATE	O
1.0	September	have	attacks	O	DATE
1.0	confetti	have	overhead	O	O
1.0	people	have	have expect	0	0
1.0	trio	ring with	Berlin	0	LOCATION
1.0	reveller	be	turn	0	0
1.0	they	struggle goat during	attempt at ritual slaughter	0	0
1.0	reveller	be reportedly turn in	Moscow	0	LOCATION
1.0	`` Auld Lang Syne '' with fireworks bursting overhead and tons of confetti showering down	have	life	O	O
1.0	Madrid	cancel	its festivity	LOCATION	0
1.0	New Year	create	opportunity for double celebration	DATE	0
1.0	600 people	take	french love say	NUMBER	0
1.0	authority	cancel	year fiesta	0	0
1.0	severe weather	force	cancellation of festivity	0	0
1.0	Wellington	be capital of	New Zealand	LOCATION	LOCATION
1.0	Bulgaria	see	they party	LOCATION	0
1.0	people	join	annual Hogmanay celebration in Edinburgh	0	LOCATION
1.0	two country	become	26th member of bloc	NUMBER	ORDINAL
1.0	authority	cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim	0	DATE
1.0	Scotland	have	holiday	O	LOCATION
1.0	capacity crowd	once fill square for	midnight concert	0	DATE
1.0	Belfast	have	capital	O	LOCATION
1.0	people	take	love say	0	0
1.0	house of Parliament	of	famous clock tower	ORGANIZATION	0
1.0	reveller	be	in Moscow turn from Red Square	0	LOCATION
1.0	capacity crowd	fill	square	0	0
1.0	they	mill	under banner	0	0
1.0	authority	also cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by separatist group ETA	0	DATE
1.0	severe weather	meanwhile force	cancellation of festivity in New Zealand	0	LOCATION
1.0	follow Saturday	follow	airport bomb blast claim by armed basque separatist group ETA	DATE	ORGANIZATION
1.0	authority	cancel year fiesta as	precaution	0	0
1.0	New Year	coincide with	festival	DATE	0
1.0	one million people	throng in	Australia	NUMBER	LOCATION
1.0	New Year	create	opportunity for celebration in muslim	DATE	0
1.0	bombing	cut	short celebration	0	0
0.298122624548545	they	struggle during	attempt	0	0
1.0	reveller	be reportedly turn away from	Red Square	0	LOCATION
1.0	authority	cancel	traditional year fiesta	0	0
1.0	authority	also cancel	new year fiesta	0	0
1.0	blast	remain	miss	0	0
1.0	capacity 15,000 crowd	once fill square for	midnight concert	NUMBER	DATE
1.0	they	arrest	two militant	0	NUMBER
1.0	Sacrifice	have	Feast	O	O
1.0	summer	have	some	O	DATE
1.0	two country	celebrate	become	NUMBER	0
1.0	deadly bombing	cut	celebration	0	0
1.0	bloc	have	members	O	O
0.15140126796757591	estimate 400,000	crowd	see in New year	NUMBER	DATE
1.0	celebration	be	cancel	0	0
0.6889248691118984	german	advantage of	weather	0	0
1.0	raucous revellers counting down to 2007 first in Sydney	have	thousands	O	O
1.0	capacity 15,000 crowd	fill square for	midnight concert	NUMBER	DATE
1.0	blasts	have	wave	O	O
1.0	weather	have	advantage	O	O
1.0	party-goer	liable to	on-the	0	0
1.0	Belfast	hub of	Edinburgh	LOCATION	LOCATION
1.0	authority	cancel	year fiesta in city centre	0	0
1.0	organiser	lash by	rain	0	0
1.0	New Year	coincide with	muslim festival	DATE	0
1.0	Feast	have	start	O	O
1.0	Nantes	have	city	O	LOCATION
1.0	authority	also cancel	traditional new year fiesta	0	0
1.0	Parliament	have	clock tower	O	ORGANIZATION
1.0	authority	also cancel	year fiesta in city centre	0	0
1.0	reveller	be turn in	Moscow	0	LOCATION
1.0	Bangkok	be in	Thai	LOCATION	MISC
1.0	its	have	festivities	O	O
1.0	Year	have	celebration	O	DATE
1.0	city	have	New Year 's	0	DATE
1.0	authority	also cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by basque separatist group ETA	0	DATE
1.0	Eid al-Adha	have	festival	O	O
1.0	New Delhi	be in	indian	LOCATION	0
1.0	Leeds	have	cities	O	ORGANIZATION
1.0	they	struggle goat at	start of muslim feast	0	0
1.0	double celebration	be in	muslim	0	0
1.0	Britain	have	parts	O	LOCATION
0.6889248691118984	german	advantage of	mild weather	0	0
1.0	its	have	arrival	O	O
1.0	Champs-Elysees	see in	New year	0	DATE
1.0	Auld Lang Syne	be with	firework burst	0	0
1.0	authority	be in	Madrid	0	LOCATION
1.0	reveller	be	turn away	0	0
1.0	reveller	be	reportedly turn away	0	0
1.0	capacity crowd	once fill	square	0	0
1.0	severe weather	meanwhile force	cancellation of festivity	0	0
1.0	severe weather	meanwhile force	cancellation	0	0
1.0	year	have	fireworks	O	DATE
1.0	they	struggle goat at	start of feast of Sacrifice	0	0
1.0	country	celebrate	become	0	0
1.0	authority	also cancel	new year fiesta in city centre	0	0
0.298122624548545	they	struggle at	start of muslim feast of Sacrifice	0	0
1.0	Communism	have	fall	DATE	MISC
1.0	crowds	have	trio	O	O
0.298122624548545	they	struggle during	attempt at ritual slaughter	0	0
1.0	600 people	take	love	NUMBER	0
1.0	authority	also cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by armed basque separatist group ETA	0	DATE
1.0	reveller	be turn away from	Red Square	0	LOCATION
1.0	New Year	coincide with	muslim festival of Eid al-Adha	DATE	0
1.0	Year 's celebration	be in	year	DATE	0
1.0	Saturday	have	airport bomb blast	O	DATE
1.0	reveller	be	in Moscow reportedly turn away from Red Square	0	LOCATION
1.0	New Year	create	opportunity for celebration	DATE	0
1.0	estimate 400,000	crowd	Champs-Elysees	NUMBER	0
1.0	reveller	be	in Moscow turn away from Red Square	0	LOCATION
1.0	authority	also cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by armed separatist group ETA	0	DATE
1.0	country	become	member of bloc	0	0
1.0	New Year festivity	however be sour by	violence	DATE	0
1.0	people	be kill	more	0	0
1.0	skating	have	minutes	DURATION	O
1.0	London Eye	wheel 's	world	LOCATION	0
1.0	sound	show	light	0	0
1.0	authority	cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by armed basque separatist group ETA	0	DATE
0.15140126796757591	estimate 400,000	crowd in	Paris	NUMBER	LOCATION
1.0	Glasgow	have	hubs	O	LOCATION
1.0	trio	ring with	raucous reveller	0	0
1.0	it	be	city 's most upbeat New	0	DATE
1.0	reveller	be	reportedly turn	0	0
1.0	weather	meanwhile force	cancellation	0	0
0.7518586207057653	goat	start	sheep	0	0
1.0	Newcastle	have	cities	O	LOCATION
1.0	it	be	city 's upbeat New	0	DATE
1.0	deadly bombing	cut	short celebration	0	0
1.0	they	arrest	two islamic militant	0	NUMBER
1.0	New Year festivity	be	sour	DATE	0
1.0	two country	become	member	NUMBER	0
1.0	festivities	have	cancellation	O	O
1.0	festivity	be in	New Zealand	0	LOCATION
1.0	their	have	parties	O	O
1.0	ETA bombing	prompt	Madrid	ORGANIZATION	LOCATION
1.0	pop	have	cancellation	O	O
