1.0	PSE	be of	polish	ORGANIZATION	0
1.0	Lithuania	be in	Ignalina	LOCATION	LOCATION
1.0	new nuclear power plant	be in	Lithuania	0	LOCATION
1.0	World War II	have	close	O	MISC
1.0	new facility	would	would one step	0	NUMBER
0.5746844177491822	facility	reduce	state ' reliance	0	0
1.0	Lietuvos Energija	have	head	O	ORGANIZATION
1.0	electricity	have	percent	PERCENT	O
1.0	their	have	ruler	O	O
1.0	Estonia	have	leaders	O	LOCATION
1.0	Moscow	be	with which lock in bitter dispute	LOCATION	0
1.0	Lithuania	have	energy company	O	LOCATION
0.5383907158305592	plan	replace	ageing power facility	0	0
1.0	would one step	reduce	state ' reliance	NUMBER	0
1.0	Moscow	be lock in	bitter dispute	LOCATION	0
0.5746844177491822	new facility	reduce	baltic state ' reliance	0	0
1.0	Gediminas Kirkilas	be	Lithuanian	PERSON	MISC
1.0	leader	bring party on	board	0	0
1.0	leader	express	reticence	0	0
1.0	Moscow	be	with which lock in dispute	LOCATION	0
1.0	Estonia	give	Lithuania	LOCATION	LOCATION
1.0	Estonia	give light to	project	LOCATION	0
1.0	the spigots that carry gas through Ukraine to the EU	have	sources	O	O
1.0	three baltic state	join	Poland in a project to build a new nuclear power plant in Lithuania	NUMBER	LOCATION
0.893566809772844	reticence	leader of	Estonia	0	LOCATION
0.5746844177491822	new facility	reduce	state ' reliance	0	0
0.5746844177491822	nuclear facility	reduce	baltic state ' reliance	0	0
1.0	Megawatts	have	capacity	O	O
0.5746844177491822	nuclear facility	reduce	state ' reliance	0	0
0.7293719874391146	Russia	flow of	oil	LOCATION	0
1.0	energy company	have	head	O	O
0.5383907158305592	plan	replace ageing power facility in	Ignalina eastern Lithuania	0	LOCATION
1.0	plant	have	capacity	O	O
1.0	Moscow	be	lock	LOCATION	0
1.0	Jacek Socha	head of	PSE	PERSON	ORGANIZATION
1.0	Moscow	be lock in	bitter dispute over transit fee	LOCATION	0
1.0	energy	have	sources	O	O
1.0	feasibility study	leave	gap between closure	0	0
1.0	their	have	power grids	O	O
1.0	Moscow	be	with which lock in bitter dispute over transit fee	LOCATION	0
1.0	advantage	be in	polish participation	0	0
1.0	leader	bring	fourth party	0	ORDINAL
1.0	plant	have	inauguration	O	O
1.0	facility	would	would just one step	0	NUMBER
1.0	new plant	require	investment	0	0
1.0	facility	would	would one step	0	NUMBER
1.0	would one step	reduce state reliance on	Russia	NUMBER	LOCATION
1.0	Lithuania	of	energy company	LOCATION	0
1.0	feasibility study	leave	six-year gap between closure of Ignalina	0	LOCATION
1.0	baltic state	join	Poland in a project to build a new nuclear power plant in Lithuania	0	LOCATION
1.0	euros	have	investment	O	MONEY
1.0	new nuclear facility	would	would just one step	0	NUMBER
1.0	leader	bring	party	0	0
0.5746844177491822	new nuclear facility	reduce	baltic state ' reliance	0	0
0.5214477491922022	feasibility study	conduct	last year	0	DATE
1.0	new single-reactor plant	be with	capacity of 800 megawatt	0	NUMBER
1.0	head	reiterate	Vilnius 's eagerness	0	LOCATION
1.0	Vilnius	have	eagerness	O	LOCATION
1.0	Latvia	have	electricity companies	O	LOCATION
1.0	polish participation	be in	already start	0	0
1.0	reservations	have	most	O	O
1.0	new facility	would	would just one step	0	NUMBER
1.0	feasibility study	leave	six-year gap between closure	0	DURATION
