1.0	Francoise Cotta	be lawyer of	Naceri	PERSON	PERSON
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be	in December sentence to six month	0	DURATION
1.0	Naceri -- who arrived at the club drunk , with two young women on his arm --	be refuse	entry	0	0
1.0	Samy Naceri	appear in	court in France	PERSON	LOCATION
1.0	Naceri 's lawyer Francoise Cotta	ther lawyer for	Lucien Simon	ORGANIZATION	PERSON
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be sentence to	six month in prison for racially insulting policeman	0	DURATION
0.5376038153700368	Naceri 's lawyer Francoise Cotta	see	a local deputy prosecutor	PERSON	0
1.0	he	drive without	licence in city	0	0
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	have	since 2000 have convict time	0	DATE
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	have	since 2000 have convict	0	DATE
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	have	since 2000 have convict for assault	0	DATE
1.0	Samy Naceri	be	due	PERSON	0
1.0	mistral discotheque	be in	town of Aix-en-Provence	0	LOCATION
1.0	Naceri	spark	fight	PERSON	0
1.0	Naceri	fall against	car	PERSON	0
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	have	have convict time	0	0
1.0	he	have	have arrest	0	DATE
1.0	Naceri	face	possible charge	PERSON	0
1.0	Friday	have	hearing	O	DATE
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be	in December sentence to six month in prison	0	DURATION
