1.0	Fradkov	say on	Friday	PERSON	DATE
1.0	tax	be in	retaliation for demand by Moscow for 180-dollar-per tonne tariff	0	LOCATION
1.0	aspect	be	exploit	0	0
1.0	countries	have	interests	O	O
1.0	tax	be in	retaliation for demand by Moscow on belarussian oil import	0	LOCATION
1.0	dispute	prompt shutdown for	three day begin	0	DURATION
1.0	complication	be in	we tie	0	0
1.0	his	have	counterpart President Alexander Lukashenko	PERSON	O
1.0	dollars	have	tax	O	MONEY
1.0	tax	be in	retaliation for demand by Moscow for tonne tariff	0	LOCATION
1.0	tax	be in	retaliation for earlier demand by Moscow for tonne tariff on oil import from Russia	0	LOCATION
1.0	Belarus	have	Alexander Lukashenko	PERSON	LOCATION
1.0	tax	be in	retaliation for earlier demand on belarussian oil import	0	0
1.0	aspect	be exploit by	Belarus	0	LOCATION
1.0	tax	be in	retaliation by Moscow	0	LOCATION
1.0	tax	be in	retaliation for earlier demand by Moscow on oil import from Russia	0	LOCATION
1.0	tax	be in	retaliation for earlier demand by Moscow on belarussian oil import	0	LOCATION
1.0	tax	be in	retaliation for earlier demand on oil import	0	0
1.0	tax	be in	retaliation by Moscow for 180-dollar-per tonne tariff on belarussian oil import from Russia	0	LOCATION
1.0	European Union	be  at_time	earlier this week	ORGANIZATION	DATE
1.0	several aspect	be	unfairly exploit	0	0
1.0	tax	be in	retaliation by Moscow for 180-dollar-per tonne tariff	0	LOCATION
1.0	dispute	prompt	shutdown	0	0
1.0	tax	be in	retaliation for earlier demand on oil import from Russia	0	LOCATION
1.0	tax	be in	retaliation by Moscow for 180-dollar-per tonne tariff on oil import	0	LOCATION
1.0	he	be quote by	ria novostus	0	0
1.0	Monday	have	shut-down	O	DATE
1.0	aspect	be unfairly exploit by	Belarus	0	LOCATION
1.0	tax	be in	retaliation for demand by Moscow for 180-dollar-per tonne tariff on oil import	0	LOCATION
1.0	tax	be in	retaliation	0	0
1.0	tax	be in	retaliation for demand by Moscow on belarussian oil import from Russia	0	LOCATION
1.0	Moscow	have accuse	Minsk	LOCATION	LOCATION
1.0	tax	be in	retaliation for demand by Moscow for 180-dollar-per tonne tariff on oil import from Russia	0	LOCATION
1.0	President Vladimir Putin	say	he belarussian counterpart President Alexander Lukashenko	PERSON	PERSON
1.0	President Vladimir Putin	say	he counterpart President Alexander Lukashenko	PERSON	PERSON
1.0	Russia	have	main oil export pipeline	LOCATION	0
1.0	Russia	have	reputation	LOCATION	0
1.0	tax	be in	retaliation for demand by Moscow for tonne tariff on belarussian oil import from Russia	0	LOCATION
1.0	tax	be in	retaliation for earlier demand by Moscow for 180-dollar-per tonne tariff on oil import	0	LOCATION
1.0	Russian Prime Minister Mikhail Fradkov	say	admit	PERSON	0
1.0	tax	be in	retaliation for earlier demand by Moscow for 180-dollar-per tonne tariff on belarussian oil import	0	LOCATION
1.0	dispute	prompt shutdown for	three day	0	DURATION
1.0	tax	be in	retaliation for demand by Moscow for 180-dollar-per tonne tariff on belarussian oil import	0	LOCATION
1.0	Russia 's President Vladimir Putin	unblock	Belarus 's Alexander Lukashenko	LOCATION	LOCATION
1.0	Russian Prime Minister Mikhail Fradkov	say in	comment	PERSON	0
1.0	tax	be in	retaliation by Moscow for tonne tariff on oil import	0	LOCATION
1.0	tax	be in	retaliation on belarussian oil import	0	0
1.0	tax	be in	retaliation for earlier demand by Moscow	0	LOCATION
0.5673662050705683	dollar-per-tonne tax	be	illegal	0	0
1.0	tonne	supply to	Belarus	0	LOCATION
1.0	tax	be in	retaliation for earlier demand by Moscow for tonne tariff on belarussian oil import	0	LOCATION
1.0	tax	be in	retaliation for earlier demand by Moscow on oil import	0	LOCATION
1.0	oil products	have	exports	O	O
1.0	Russia 's President Vladimir Putin	talk	Belarus 's Alexander Lukashenko	LOCATION	LOCATION
1.0	tax	be in	retaliation for earlier demand by Moscow for tonne tariff	0	LOCATION
1.0	tax	be in	retaliation for demand by Moscow on oil import from Russia	0	LOCATION
1.0	tax	be in	retaliation for demand by Moscow for 180-dollar-per tonne tariff on belarussian oil import from Russia	0	LOCATION
0.5673662050705683	tax	be	illegal	0	0
1.0	Alexander Lukashenko	be	belarussian	PERSON	0
1.0	countries	have	oil trading arrangements	O	O
1.0	tax	be in	retaliation for demand on oil import from Russia	0	LOCATION
1.0	dispute	prompt shutdown for	three day begin on Monday	0	DURATION
1.0	Vladimir Putin	be president of	Russia	PERSON	LOCATION
1.0	tax	be in	retaliation for demand	0	0
1.0	oil trading arrangements	have	aspects	O	O
1.0	final obstacle	be in	dispute	0	0
1.0	complications	have	result	O	O
1.0	tax	be in	retaliation for demand on oil import	0	0
1.0	tax	be in	retaliation for demand by Moscow	0	LOCATION
