1.0	embattled president	on	plan	0	0
1.0	Baghdad	have	leader	LOCATION	0
1.0	US President George W. Bush	tell	US public	LOCATION	LOCATION
1.0	Iran	use	Syria	LOCATION	LOCATION
1.0	the US president	have	push	O	O
1.0	we new strategy	even work exactly as	terrorist	0	0
1.0	Bush	be pin	hope for viable democracy	PERSON	0
1.0	them	have	bulk	O	O
1.0	Israeli	have	resolution	O	MISC
1.0	Bush	be pin	hope for democracy	PERSON	0
0.6937698971408544	fresh	anger at	Bush 's handling	0	PERSON
1.0	Army	have	size	O	ORGANIZATION
1.0	Condoleezza Rice	be of	State	PERSON	ORGANIZATION
1.0	president	face	uphill battle	0	0
1.0	terrorists and insurgents	have	survival	O	O
1.0	war	be in	Iraq	0	LOCATION
1.0	aide	say	plan call	0	0
1.0	our	have	involvement	O	O
0.7417687184648319	fresh	retake	US Congress	0	LOCATION
1.0	Democrats	have	calls	O	MISC
1.0	Maliki	reinforce	Baghdad security	PERSON	LOCATION
1.0	Maliki	make	clear	PERSON	0
1.0	president	face	battle	0	0
1.0	Iraq	have	economy	O	LOCATION
1.0	woman	be in	uniform	0	0
1.0	strategic blunder	be in	Iraq	0	LOCATION
1.0	support	have	flow	O	O
1.0	our	have	enemies	O	O
1.0	Bush	be pin	hope for democracy in Iraq	PERSON	LOCATION
1.0	insurgency	have	scene	O	O
0.6937698971408544	fresh	anger at	Bush 's handling of Iraq	0	LOCATION
1.0	Iraq	have	neighbor	LOCATION	0
1.0	Congress	be in	part thanks	ORGANIZATION	0
1.0	Nuri al Maliki	be	iraqi	PERSON	0
1.0	Iran	charge	Syria	LOCATION	LOCATION
1.0	government	have	collapse	O	O
1.0	we new strategy	even work as	terrorist	0	0
1.0	George W. Bush	be	US	PERSON	LOCATION
1.0	Gates	will also present	plan	PERSON	0
1.0	Bush	be pin	hope for viable democracy in Iraq	PERSON	LOCATION
1.0	Nancy Pelosi	be speaker of	House	PERSON	ORGANIZATION
1.0	Senate Majority Leader Harry Reid	say after	speech	PERSON	0
1.0	Bush	be pin	fading hope	PERSON	0
1.0	US president	take	step	LOCATION	0
1.0	Bush	escalate	US force	PERSON	LOCATION
1.0	Bush	of	republican ally	PERSON	0
1.0	duty US Army	have	size	O	ORGANIZATION
1.0	Bush	secure	Baghdad	PERSON	LOCATION
1.0	the US president	say in	speech	0	0
1.0	we strategy	even work exactly as	terrorist	0	0
1.0	Iraq	have	security force	LOCATION	0
1.0	Bush	point in	rare specific admission	PERSON	0
1.0	allies	have	many	O	O
1.0	viable democracy	be in	Iraq	0	LOCATION
1.0	Senate Majority Leader Harry Reid	say	House Speaker Nancy Pelosi	PERSON	PERSON
1.0	people	have	support	O	O
