1.0	handelsblatt	be	daily	0	SET
0.5120846710862627	tap key pipeline	run through	Belarus	0	LOCATION
1.0	Gerhard Schroeder 's	be risk	he country 's reputation as reliable energy supplier	0	0
1.0	stance	have	vice grip	O	O
1.0	Gazprom	be of	russian	ORGANIZATION	0
1.0	gas	have	importer	O	O
1.0	trans-atlanticism	have	revival	O	O
1.0	the European Union	be	frustrate	ORGANIZATION	0
1.0	Gerhard Schroeder 's	be risk	he country 's reputation as energy supplier	0	0
1.0	Merkel	depend on	Russia	PERSON	LOCATION
1.0	russian affair programme	be with	German Council on Foreign Relations	0	MISC
1.0	Alexander Rahr	director of	russian affair programme with German Council on Foreign Relations	PERSON	MISC
1.0	this way	need as much	its client	0	0
1.0	she	meet with	putin in Moscow on January 21	0	DATE
1.0	Gerhard Schroeder	have	uncritical stance towards Moscow	PERSON	LOCATION
1.0	ex-chancellor	urge	patience	0	0
1.0	it priority	steer european union towards	greater energy security	0	0
1.0	Europe	because of	demand for access	LOCATION	0
1.0	its	have	clients	O	O
1.0	Russia 's standoff	be with	Belarus	LOCATION	LOCATION
1.0	oil	have	importer	O	O
0.5120846710862627	tap key pipeline	run to	Czech Republic	0	LOCATION
1.0	Gerhard Schroeder 's	be risk	he country 's long-standing reputation as energy supplier	0	0
1.0	relation	be with	Russia	0	LOCATION
1.0	Russia	be	remind	LOCATION	0
1.0	she word	carry	weight	0	0
1.0	affairs programme	have	director	O	O
1.0	this way	need much	its client	0	0
1.0	Merkel	break	Gerhard Schroeder 's stance towards Moscow	PERSON	LOCATION
