1.0	fortune	have	dollar slice	O	O
1.0	bombshell	have	have lock in battle to multi-million dollar slice of she late husband 's fortune	0	0
1.0	bombshell	have	have lock in battle with Marshall 's family to dollar slice of she late husband 's fortune	0	PERSON
1.0	baby	have	father	DURATION	DURATION
1.0	blonde bombshell	have	have lock in battle with Marshall 's family to dollar slice of she husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in legal battle with Marshall 's family to multi-million dollar slice of she late husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in bitter battle with Marshall 's family over she claim to dollar slice of she late husband 's fortune	0	PERSON
1.0	his	have	half-sister	O	O
1.0	bombshell	have	have lock in bitter legal battle to dollar slice of she husband 's fortune	0	0
1.0	blonde bombshell	have	have lock to multi-million dollar slice of she late husband 's vast fortune	0	0
1.0	bombshell	have	have lock to dollar slice of she late husband 's fortune	0	0
1.0	bombshell	have	have lock in battle with Marshall 's family over she claim to dollar slice of she late husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in legal battle to multi-million dollar slice of she late husband 's fortune	0	0
1.0	her	have	door	O	O
1.0	bombshell	have	have lock to dollar slice of she husband 's vast fortune	0	0
1.0	bombshell	have	have lock in battle with Marshall 's family over she claim to multi-million dollar slice	0	PERSON
1.0	bombshell	have	have lock in bitter legal battle to dollar slice of she late husband 's vast fortune	0	0
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to dollar slice	0	PERSON
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family to dollar slice of she husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock to multi-million dollar slice of she late husband 's fortune	0	0
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in battle with Marshall 's family over she claim to multi-million dollar slice of she husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter battle to multi-million dollar slice of she late husband 's vast fortune	0	0
1.0	she	baby	Dannielynn Hope Marshall Stern	0	PERSON
1.0	bombshell	have	have lock in legal battle with Marshall 's family over she claim	0	PERSON
1.0	Birkhead	have	lawyer Debra Opri	PERSON	PERSON
1.0	blonde bombshell	have	have lock in battle with Marshall 's family to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	bombshell	have	have lock to dollar slice	0	0
1.0	baby	have	father	O	O
1.0	bombshell	have	have lock in legal battle to multi-million dollar slice of she late husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to dollar slice of she husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock to multi-million dollar slice of she husband 's vast fortune	0	0
1.0	Smith	take	test	PERSON	0
1.0	bombshell	have	have lock in legal battle with Marshall 's family over she claim to dollar slice	0	PERSON
1.0	Daniel	die in	early September	PERSON	DATE
1.0	blonde bombshell	have	have lock in legal battle to dollar slice of she husband 's fortune	0	0
1.0	blonde bombshell	have	have lock in bitter legal battle to dollar slice of she late husband 's fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle to dollar slice of she late husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family over she claim to multi-million dollar slice of she late husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in bitter battle to multi-million dollar slice of she husband 's fortune	0	0
1.0	Smith	take	she baby	PERSON	0
1.0	she baby	lawyer for	man claim	0	0
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family to multi-million dollar slice of she late husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to dollar slice of she husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to dollar slice of she husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle	0	0
1.0	bombshell	have	have lock to multi-million dollar slice	0	0
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family to dollar slice	0	PERSON
1.0	blonde bombshell	have	have lock to multi-million dollar slice of she late husband 's fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family to multi-million dollar slice of she husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in bitter battle to dollar slice of she husband 's vast fortune	0	0
1.0	bombshell	have	have lock in bitter legal battle to multi-million dollar slice of she late husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock in battle with Marshall 's family to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	the child 's	have	son	O	O
1.0	blonde bombshell	have	have lock in battle to multi-million dollar slice	0	0
1.0	blonde bombshell	have	have lock	0	0
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to dollar slice of she late husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in bitter battle with Marshall 's family to multi-million dollar slice of she husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in legal battle to multi-million dollar slice of she husband 's vast fortune	0	0
1.0	bombshell	have	have lock in legal battle to dollar slice of she late husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in bitter battle with Marshall 's family to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to dollar slice of she late husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in battle with Marshall 's family to multi-million dollar slice of she late husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in battle to multi-million dollar slice of she husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock in battle with Marshall 's family over she claim to multi-million dollar slice of she late husband 's vast fortune	0	PERSON
1.0	Robert Schnider	be judge of	Los Angeles Superior Court	PERSON	ORGANIZATION
1.0	blonde bombshell	have	have lock in legal battle to dollar slice of she late husband 's fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family to dollar slice of she late husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in legal battle with Marshall 's family over she claim to multi-million dollar slice of she late husband 's vast fortune	0	PERSON
1.0	child	have	father	0	DATE
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter battle to dollar slice of she husband 's fortune	0	0
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to dollar slice of she late husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock to dollar slice	0	0
1.0	bombshell	have	have lock in battle to multi-million dollar slice of she husband 's vast fortune	0	0
1.0	bombshell	have	have lock to multi-million dollar slice of she late husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock to dollar slice of she late husband 's fortune	0	0
1.0	blonde bombshell	have	have lock in bitter legal battle to dollar slice of she late husband 's vast fortune	0	0
1.0	bombshell	have	have lock in battle with Marshall 's family to multi-million dollar slice of she late husband 's vast fortune	0	PERSON
1.0	Former Playboy model Anna-Nicole Smith must undergo paternity testing by the end of this month to determine the parentage of her baby , a lawyer for a man claiming to be the child 's father	have	baby	O	O
1.0	Birkhead	have	Debra Opri	PERSON	PERSON
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family to dollar slice of she husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in battle to dollar slice of she husband 's fortune	0	0
1.0	Smith	take test by	January 23	PERSON	DATE
1.0	blonde bombshell	have	have lock in legal battle to dollar slice of she husband 's vast fortune	0	0
1.0	Smith	have	lawyer	O	PERSON
1.0	bombshell	have	have lock in bitter battle to dollar slice of she late husband 's fortune	0	0
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family to dollar slice of she husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle to multi-million dollar slice of she late husband 's fortune	0	0
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family to dollar slice of she husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in battle to multi-million dollar slice of she late husband 's fortune	0	0
1.0	bombshell	have	have lock in bitter battle with Marshall 's family over she claim to multi-million dollar slice of she husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in legal battle to multi-million dollar slice of she late husband 's fortune	0	0
1.0	blonde bombshell	have	have lock in battle with Marshall 's family to dollar slice of she late husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in legal battle with Marshall 's family to dollar slice of she late husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family to dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in legal battle to dollar slice of she husband 's vast fortune	0	0
1.0	Daniel	die suddenly in	September	PERSON	DATE
1.0	blonde bombshell	have	have lock in bitter legal battle to dollar slice of she husband 's fortune	0	0
1.0	bombshell	have	have lock in bitter battle to dollar slice of she husband 's fortune	0	0
1.0	she	baby	lawyer for man claim	0	0
1.0	blonde bombshell	have	have lock in battle with Marshall 's family to dollar slice of she husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family over she claim to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in battle with Marshall 's family over she claim to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family to multi-million dollar slice of she late husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock to multi-million dollar slice of she husband 's vast fortune	0	0
1.0	bombshell	have	have lock in legal battle with Marshall 's family over she claim to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	husband	have	fortune	O	O
1.0	bombshell	have	have lock in legal battle with Marshall 's family over she claim to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle to multi-million dollar slice of she husband 's vast fortune	0	0
1.0	half-sister	have	birth	O	O
1.0	bombshell	have	have lock in battle to dollar slice of she husband 's fortune	0	0
1.0	bombshell	have	have lock in battle with Marshall 's family to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family to multi-million dollar slice of she husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in battle to dollar slice of she husband 's vast fortune	0	0
1.0	her	have	senior	O	O
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family to dollar slice of she husband 's vast fortune	0	PERSON
1.0	month	have	end	DATE	DATE
1.0	blonde bombshell	have	have lock in battle with Marshall 's family to dollar slice	0	PERSON
1.0	bitter legal battle	be with	Marshall 's family over she claim	0	PERSON
1.0	blonde bombshell	have	have lock to dollar slice of she husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock in legal battle to multi-million dollar slice	0	0
1.0	blonde bombshell	have	have lock in battle to multi-million dollar slice of she late husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle to multi-million dollar slice of she husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family to dollar slice of she late husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim	0	PERSON
1.0	bombshell	have	have lock in battle to dollar slice of she late husband 's fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family over she claim to dollar slice of she husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in battle to dollar slice of she late husband 's fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family over she claim to multi-million dollar slice	0	PERSON
1.0	Marshall	with	family over claim	PERSON	0
1.0	bombshell	have	have lock in battle with Marshall 's family to dollar slice	0	PERSON
1.0	blonde bombshell	have	have lock in bitter battle to multi-million dollar slice	0	0
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	Daniel	die suddenly after	just three day	PERSON	DURATION
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family over she claim to dollar slice of she late husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in legal battle with Marshall 's family over she claim to multi-million dollar slice	0	PERSON
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family over she claim to multi-million dollar slice of she husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in battle with Marshall 's family to dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in legal battle with Marshall 's family over she claim to multi-million dollar slice of she husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family over she claim to multi-million dollar slice of she husband 's vast fortune	0	PERSON
1.0	Marshall	have	family	O	PERSON
1.0	blonde bombshell	have	have lock in battle with Marshall 's family to multi-million dollar slice of she husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family to multi-million dollar slice of she husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in bitter legal battle to dollar slice of she husband 's vast fortune	0	0
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock to dollar slice of she husband 's fortune	0	0
1.0	bombshell	have	have lock in legal battle to dollar slice of she late husband 's fortune	0	0
1.0	bombshell	have	have lock in battle to multi-million dollar slice of she late husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle to multi-million dollar slice of she husband 's fortune	0	0
1.0	bombshell	have	have lock in legal battle to dollar slice	0	0
1.0	blonde bombshell	have	have lock in battle with Marshall 's family over she claim to dollar slice of she late husband 's vast fortune	0	PERSON
1.0	the child 's	have	claim	O	O
1.0	bombshell	have	have lock in battle with Marshall 's family to multi-million dollar slice of she husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in legal battle to multi-million dollar slice of she husband 's vast fortune	0	0
1.0	baby	have	parentage	O	O
1.0	bombshell	have	have lock in battle with Marshall 's family to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in bitter battle to multi-million dollar slice of she late husband 's fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family over she claim	0	PERSON
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family over she claim to dollar slice of she late husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in legal battle with Marshall 's family to dollar slice of she husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in battle	0	0
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family over she claim to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	her	have	baby	O	O
1.0	bombshell	have	have lock in legal battle with Marshall 's family to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in battle with Marshall 's family to dollar slice of she husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in battle with Marshall 's family over she claim to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family	0	PERSON
1.0	bombshell	have	have lock in battle to multi-million dollar slice	0	0
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family to dollar slice of she husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in bitter legal battle to dollar slice	0	0
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family over she claim	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to dollar slice	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family to multi-million dollar slice of she late husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to multi-million dollar slice of she late husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock to dollar slice of she late husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle to dollar slice of she late husband 's fortune	0	0
1.0	bombshell	have	have lock in legal battle with Marshall 's family to dollar slice	0	PERSON
1.0	bombshell	have	have lock in battle to dollar slice of she late husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family over she claim to dollar slice of she husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in bitter battle to dollar slice of she late husband 's vast fortune	0	0
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family over she claim to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family over she claim to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in bitter battle with Marshall 's family to multi-million dollar slice	0	PERSON
1.0	Year	have	Playmate	MISC	DATE
1.0	bombshell	have	have lock in bitter battle with Marshall 's family to dollar slice	0	PERSON
1.0	blonde bombshell	have	have lock in battle with Marshall 's family over she claim to dollar slice of she husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in bitter battle with Marshall 's family over she claim	0	PERSON
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family to dollar slice of she husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family to dollar slice of she late husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family to multi-million dollar slice of she late husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in bitter battle to multi-million dollar slice of she husband 's vast fortune	0	0
1.0	bombshell	have	have lock in bitter legal battle to multi-million dollar slice of she husband 's fortune	0	0
1.0	bombshell	have	have lock in bitter battle with Marshall 's family to dollar slice of she husband 's vast fortune	0	PERSON
1.0	Daniel	die suddenly after	three day	PERSON	DURATION
1.0	bombshell	have	have lock in bitter legal battle	0	0
1.0	late husband	of	vast fortune	0	0
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in legal battle with Marshall 's family to multi-million dollar slice	0	PERSON
1.0	bombshell	have	have lock in legal battle	0	0
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	the child 's	have	husband	O	O
1.0	blonde bombshell	have	have lock in battle with Marshall 's family over she claim to dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in legal battle with Marshall 's family	0	PERSON
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family to dollar slice of she husband 's vast fortune	0	PERSON
1.0	blonde bombshell	have	have lock in battle with Marshall 's family over she claim to dollar slice of she husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family over she claim to dollar slice of she late husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle to multi-million dollar slice of she husband 's fortune	0	0
