1.0	stock market	nosedive	record 15 percent	0	PERCENT
1.0	heighten tension	spark rumour during	further rattle market	0	0
1.0	loser	overwhelm	gainer with unchanged baht	0	MONEY
1.0	authority	quickly reverse	measure aim	0	0
1.0	heighten tension	spark rumour during	further market	0	0
1.0	loser	overwhelm	gainer with unchanged on turnover of 2.35 billion share baht	0	NUMBER
1.0	loser	overwhelm	gainer with 45 stock unchanged worth baht	0	MONEY
1.0	Thai baht	fall slightly	close	MISC	0
1.0	Thai baht	fall	close	MISC	0
1.0	Prime Minister Surayud Chulanont	warn of	more possible attack for at least two month	PERSON	DURATION
1.0	tension	spark	rumour of new coup	0	0
1.0	Thai baht	fall slightly	close at 35.95-36 .00	MISC	NUMBER
1.0	Surayud Chulanont	be	military-installed	PERSON	0
1.0	Thailand	have	Stock Exchange	ORGANIZATION	ORGANIZATION
1.0	tension	spark rumour during	further rattle market	0	0
1.0	authority	reverse	measure	0	0
1.0	rumours	have	government warnings	O	O
1.0	military-installed Prime Minister Surayud Chulanont	warn of	more possible attack for at least two month	PERSON	DURATION
1.0	confidence crisis	have take	toll on other stock	0	0
1.0	coup	have	rumours	O	O
1.0	Thai baht	close to	dollar	MISC	0
1.0	tension	spark	rumour of coup	0	0
1.0	heighten tension	spark rumour during	rattle market	0	0
1.0	PTT	plunge to	192.00	ORGANIZATION	NUMBER
1.0	tension	spark	rumour	0	0
1.0	military-installed Prime Minister Surayud Chulanont	warn of	possible attack for at least two month	PERSON	DURATION
