1.0	Canberra	in university be	the ANU 's	LOCATION	0
1.0	Philippines	also face problem with	vast chain of island reachable by militant	LOCATION	0
1.0	recipe	flourish despite	intention of political leader	0	0
0.7412313620904433	hundred	be	deploy in Philippines as part	0	LOCATION
1.0	Philippines	also face problem with	vast chain of island easily reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	Philippines	also face problem with	chain of island easily reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	Philippines	face problem with	vast chain of remote island reachable	LOCATION	0
0.6916841764799903	government troops	long and unfinished campaign against	militant	0	0
1.0	Philippines	be link accord to	brussels-based International Crisis Group	LOCATION	ORGANIZATION
1.0	they	slip into	urban area unnoticed	0	0
1.0	Philippines	be weakest link in	Southeast Asia 's battle	LOCATION	LOCATION
1.0	country	be	leave	0	0
1.0	prominent militant	operate	undetected	0	0
1.0	Philippines	face problem with	chain of remote island reachable	LOCATION	0
1.0	Philippines	also face problem with	chain of remote island easily reachable by militant come	LOCATION	0
1.0	better governance	would	would good start	0	0
1.0	they	slip easily into	christian area	0	0
1.0	they	slip into	urban christian area	0	0
1.0	Philippines	be weakest link accord to	International Crisis Group	LOCATION	ORGANIZATION
1.0	he	be work	assassinate	0	0
1.0	corrupt	have	one	NUMBER	O
1.0	Philippines	also face problem with	vast chain of remote island reachable	LOCATION	0
1.0	country	have	bomb data centre	O	O
1.0	Philippines	face	problem	LOCATION	0
1.0	Philippines	be link in	Southeast Asia 's battle	LOCATION	LOCATION
1.0	Philippines	face problem with	vast chain of island reachable by militant	LOCATION	0
1.0	Philippines	also face problem with	vast chain of remote island easily reachable	LOCATION	0
0.7412313620904433	hundred	be deploy as	part	0	0
1.0	geography	have	problem	O	O
1.0	Philippines	also face problem with	vast chain of island reachable by militant come	LOCATION	0
1.0	Philippines	face problem with	chain of remote island easily reachable	LOCATION	0
1.0	Philippines	also face problem with	chain of island reachable by militant come	LOCATION	0
0.9575690419229747	international focus	be on	militant	0	0
1.0	Institute of Defence and Strategic study	be in	Singapore	ORGANIZATION	LOCATION
1.0	Philippines	also face problem with	chain	LOCATION	0
1.0	Philippines	be weakest link accord to	brussels-based International Crisis Group	LOCATION	ORGANIZATION
1.0	their	have	gains	O	O
1.0	Philippines	be link accord to	International Crisis Group	LOCATION	ORGANIZATION
1.0	two indonesian bombmaker	want over	2002 Bali attack	NUMBER	DATE
1.0	Philippines	also face problem with	vast chain of island easily reachable by militant come	LOCATION	0
1.0	Philippines	also face	problem of geography	LOCATION	0
0.6916841764799903	government troops	campaign against	militant	0	0
1.0	country	have	bomb datum centre	0	0
1.0	Yousef	rent manila apartment in	mid-1990	PERSON	0
1.0	Philippines	face problem with	chain of remote island easily reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	militant	be	able	0	0
1.0	Indonesians	have	Thousands	O	MISC
1.0	vessels	have	hundreds	O	O
1.0	100 shadow government	be in	area	NUMBER	0
1.0	Philippines	face problem with	vast chain of remote island easily reachable by militant	LOCATION	0
0.27792894616668395	thousand	live illegally on	Mindanao	0	LOCATION
1.0	Philippines	be	link	LOCATION	0
1.0	country	deadlock in	struggle with militant in many location	0	0
1.0	indonesian bombmaker	want over	2002 Bali attack	0	DATE
1.0	fundamental issue	be	address	0	0
1.0	better governance	would	would start	0	0
1.0	recipe	flourish despite	best intention of political leader	0	0
0.7412313620904433	hundred	be	deploy	0	0
1.0	Philippines	face problem with	chain of island reachable by militant come	LOCATION	0
1.0	Philippines	also face problem with	chain of remote island reachable by militant come	LOCATION	0
1.0	foreign assistance	make	little difference	0	0
1.0	governance	have	history	O	O
1.0	Philippines	also face problem with	vast chain of island easily reachable	LOCATION	0
1.0	assistance	make	little difference	0	0
1.0	islands	have	chain	O	O
1.0	bomb blast	have put	spotlight	0	0
1.0	recipe	flourish despite	best intention of leader	0	0
1.0	country	be battle	Rajah Solaiman group	0	MISC
1.0	ASEAN summit	have	Bomb blasts	O	O
1.0	Philippines	also face problem with	chain of island easily reachable by militant come	LOCATION	0
1.0	recipe	flourish despite	best intention	0	0
1.0	Philippines	also face problem with	chain of remote island	LOCATION	0
1.0	Philippines	face problem with	vast chain of island easily reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	Philippines	be	weakest link	LOCATION	0
1.0	Philippines	also face problem with	vast chain of island easily reachable by militant	LOCATION	0
1.0	Philippines	also face problem with	chain of island easily reachable by militant	LOCATION	0
1.0	Southeast Asia	in	battle against militant	LOCATION	0
1.0	Strategic	have	Institute	ORGANIZATION	ORGANIZATION
1.0	Philippines	also face problem with	vast chain of remote island reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	they	slip into	urban christian area unnoticed	0	0
1.0	corruption	have	history	O	O
1.0	New York	have	World Trade Center	LOCATION	LOCATION
1.0	leaders	have	intentions	O	O
1.0	Philippines	also face problem with	vast chain of island reachable	LOCATION	0
0.7412313620904433	hundred	be deploy in	Philippines	0	LOCATION
1.0	analyst	say to	history	0	0
1.0	they	slip into	area	0	0
1.0	Philippines	also face problem with	chain of remote island reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	Philippines	face problem with	chain of island easily reachable by militant	LOCATION	0
1.0	weakest link	be in	Southeast Asia 's battle against militant	0	LOCATION
1.0	analyst	say to	history of corruption	0	0
1.0	Philippines	face problem with	chain of remote island easily reachable by militant	LOCATION	0
1.0	Philippines	face problem with	vast chain of island	LOCATION	0
0.6916841764799903	government troops	long campaign against	militant	0	0
1.0	bomber	be	when catch	0	0
1.0	little	will change such	such poverty	0	0
0.9575690419229747	focus	be on	muslim militant	0	0
1.0	World Trade Center	have	bombing	O	LOCATION
1.0	bomber	be	catch	0	0
1.0	court	be in	defiance of government rule	0	0
1.0	Philippines	face problem with	vast chain of island reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	they	slip into	area unnoticed	0	0
1.0	governance	be	good	0	0
1.0	Philippines	also face problem with	chain of island reachable	LOCATION	0
1.0	country	remain	deadlock in struggle	0	0
1.0	Philippines	face	problem of geography	LOCATION	0
1.0	chain	be	muslim	0	0
1.0	Philippines	face problem with	vast chain	LOCATION	0
1.0	Philippines	face problem with	chain of remote island reachable by militant	LOCATION	0
1.0	Defence	have	Institute	ORGANIZATION	ORGANIZATION
1.0	they	slip easily into	urban area unnoticed	0	0
1.0	Philippines	also face problem with	chain of remote island easily reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	Yousef	rent	Manila apartment	PERSON	LOCATION
1.0	US troops	have	hundreds	O	O
1.0	Harrison	be in	Singapore	PERSON	LOCATION
1.0	Southeast Asia	have	battle	O	LOCATION
1.0	Philippines	face problem with	chain of remote island reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	country	deadlock in	struggle with militant in location	0	0
1.0	they	slip into	urban area	0	0
1.0	Philippines	also face	problem	LOCATION	0
1.0	they	slip easily into	area unnoticed	0	0
1.0	Philippines	face problem with	vast chain of remote island easily reachable by militant come	LOCATION	0
1.0	governance	would	would start	0	0
1.0	Philippines	also face problem with	vast chain of remote island easily reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	Philippines	also face problem with	chain of remote island reachable	LOCATION	0
1.0	Sulu island chain	be	stronghold home	LOCATION	0
1.0	he	be work	assassinate pope John Paul II	0	PERSON
0.9575690419229747	focus	be on	militant	0	0
1.0	country	have prove	all impossible to police	0	0
1.0	insurgency	have	hotbed	O	O
1.0	waterway	unchallenged by	police authority	0	0
0.7412313620904433	hundred	be	deploy in Philippines as part of US	0	LOCATION
1.0	struggle	be with	militant in many location	0	0
1.0	Philippines	face problem with	chain of remote island easily reachable by militant come	LOCATION	0
1.0	Philippines	also face problem with	vast chain of remote island reachable by militant	LOCATION	0
1.0	country	deadlock in	struggle	0	0
1.0	National University	have	Ross Babbage	PERSON	ORGANIZATION
1.0	Harrison	underline	importance	PERSON	0
1.0	Christians	have	up made	O	MISC
1.0	Sulu island chain	be	stronghold home to Abu Sayyaf	LOCATION	PERSON
1.0	Philippines	face problem with	chain of island easily reachable by militant come	LOCATION	0
1.0	Philippines	also face problem with	vast chain of island reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	week	have	summit	O	DATE
1.0	country	remain	deadlock in struggle with militant in many location	0	0
1.0	Philippines	be link in	Southeast Asia 's battle against militant	LOCATION	LOCATION
1.0	Philippines	face problem with	vast chain of remote island reachable by militant	LOCATION	0
1.0	Philippines	also face problem with	chain of remote island easily reachable by militant	LOCATION	0
1.0	Philippines	also face problem with	chain of island reachable by militant	LOCATION	0
1.0	Philippines	face problem with	chain of island reachable by militant come from Malaysia	LOCATION	LOCATION
0.9575690419229747	international focus	be on	muslim militant	0	0
1.0	Philippines	also face problem with	chain of island	LOCATION	0
1.0	Philippines	face problem with	chain of island	LOCATION	0
0.7412313620904433	hundred	be deploy as	part of US	0	LOCATION
1.0	Philippines	face problem with	chain of island easily reachable	LOCATION	0
1.0	Philippines	face problem with	chain of island easily reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	country	have prove	impossible to police	0	0
1.0	war	be	painful	0	0
1.0	ANU	accord to	Babbage	ORGANIZATION	PERSON
1.0	Philippines	face problem with	chain of remote island	LOCATION	0
1.0	recipe	flourish despite	intention	0	0
1.0	they	slip into	christian area	0	0
1.0	country	have prove	all impossible	0	0
1.0	Philippines	face problem with	vast chain of remote island easily reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	Philippines	also face problem with	chain of remote island easily reachable	LOCATION	0
1.0	they	slip easily into	area	0	0
1.0	Philippines	face problem with	chain of remote island reachable by militant come	LOCATION	0
1.0	Philippines	also face problem with	vast chain of remote island easily reachable by militant come	LOCATION	0
1.0	Philippines	be weakest link in	Southeast Asia 's battle against militant	LOCATION	LOCATION
1.0	country	have prove	impossible	0	0
1.0	recipe	be complete for	terrorism	0	0
1.0	Philippines	face problem with	chain of island reachable	LOCATION	0
1.0	Philippines	also face problem with	vast chain of island	LOCATION	0
1.0	country	remain	deadlock	0	0
1.0	Philippines	face problem with	chain of island reachable by militant	LOCATION	0
1.0	country	have prove fully	all impossible	0	0
1.0	recipe	flourish despite	intention of leader	0	0
1.0	they	slip easily into	urban christian area	0	0
1.0	John Harrison	be of	Institute of Defence and Strategic study	PERSON	ORGANIZATION
1.0	militant	be in	many location	0	0
